University,Description,Maps Link,Image,Faculty,Major,Annual Fee
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit",https://maps.google.com/?q=Nahda+University+Beni+Suef,https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Engineering,"Architectural Engineering
Structural Engineering
Public Works Engineering
Irrigation and Hydraulics Engineering
Mechanical Power Engineering
Mechanical Design and Production Engineering
Aeronautical and Aerospace Engineering
Electrical Power and Machines Engineering
Electronics and Communications Engineering
Chemical Engineering
Mining, Petroleum and Metallurgical Engineering
Biomedical Engineering and Systems
Computer Engineering
Engineering Mathematics and Physics","80,000"
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Medicine,"Anatomy & Embryology
Histology
Medical Physiology
Medical Biochemistry & Molecular Biology
Medical Microbiology & Immunology
Medical Parasitology
Medical Pharmacology
Pathology
Community Medicine
Forensic Medicine & Clinical Toxicology
Family Medicine",0
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Computers and Artificial Intelligence,"Science
Information Systems
Information Technology
Artificial Intelligence
Decision Support
Software Engineering (Credit Program)
Bioinformatics (Credit Program)
Cybersecurity (Credit Program)
Data Science (Credit Program)",0
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Pharmacy,"Pharmaceutics and Industrial Pharmacy
Pharmacognosy
Pharmacology and Toxicology
Microbiology and Immunology
Pharmaceutical Organic Chemistry
Pharmaceutical Analytical Chemistry
Biochemistry
Pharmaceutical Chemistry
Clinical Pharmacy",0
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Agriculture,"Agronomy
Horticulture
Plant Protection
Soil Science
Agricultural Engineering
Agricultural Economics
Animal Production
Food Science
Biotechnology",0
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Science,"Mathematics
Physics
Chemistry
Botany
Zoology
Geology
Biochemistry
Microbiology
Biophysics",
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Economics and Political Science,"Economics
Political Science
Public Administration
Statistics",
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Mass Communication,"Journalism
Radio and Television
Public Relations and Advertising
Digital Media",
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Archaeology,"Egyptology
Islamic Archaeology
Greco-Roman Archaeology
Archaeological Restoration",
Cairo University,"Cairo University is one of Egypt's oldest and most prestigious public universities, founded in 1908 and located in Giza, Egypt. The university is recognized for its excellence in higher education, scientific research, and innovation. It offers a wide range of undergraduate and postgraduate programs across more than 25 faculties and institutes, serving over 200,000 students, including thousands of international students. Cairo University is committed to developing skilled graduates, advancing research, and contributing to the sustainable development of Egypt and the global communit","https://maps.google.com/?q=The+British+University+in+Egypt,+Knowledge+Hub+Universities,+New+Administrative+Capital,+Egypt",https://res.cloudinary.com/yrqizhfy/image/upload/v1784916508/cairo_owiljq.jpg,Faculty of Arts,"Arabic Language
English Language
French Language
German Language
Spanish Language
Oriental Languages
History
Geography
Philosophy
Psychology
Sociology
Library and Information Science",
